

hostname elitebyte
gcc: 4
sizeof(int) 4
sizeof(long) 8
sizeof(long long) 8
iterations 100000

0
               4 mountpoint(s)	0.964852 sec	 Sum: 3.801192 sec	Avg: 0.950298 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.959093 sec
               5 mountpoint(s)	0.989433 sec	 Sum: 3.911877 sec	Avg: 0.977969 sec	Min: 0.969250 sec	Max: 0.989433 sec	Median: 0.981760 sec
               6 mountpoint(s)	1.025960 sec	 Sum: 4.042787 sec	Avg: 1.010696 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.012309 sec
               7 mountpoint(s)	1.055315 sec	 Sum: 4.183343 sec	Avg: 1.045835 sec	Min: 1.035185 sec	Max: 1.055315 sec	Median: 1.054742 sec
               8 mountpoint(s)	1.106777 sec	 Sum: 4.317114 sec	Avg: 1.079278 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073711 sec
               9 mountpoint(s)	1.115100 sec	 Sum: 4.423470 sec	Avg: 1.105867 sec	Min: 1.098485 sec	Max: 1.115100 sec	Median: 1.106781 sec
4
                       nothing	0.000030 sec	 Sum: 0.000422 sec	Avg: 0.000084 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000030 sec
               0 mountpoint(s)	0.798319 sec	 Sum: 4.188516 sec	Avg: 0.837703 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.801720 sec
               1 mountpoint(s)	0.839138 sec	 Sum: 4.223187 sec	Avg: 0.844637 sec	Min: 0.838144 sec	Max: 0.868009 sec	Median: 0.839003 sec
               2 mountpoint(s)	0.874162 sec	 Sum: 4.390860 sec	Avg: 0.878172 sec	Min: 0.869627 sec	Max: 0.885925 sec	Median: 0.880179 sec
               3 mountpoint(s)	0.913385 sec	 Sum: 4.531375 sec	Avg: 0.906275 sec	Min: 0.900184 sec	Max: 0.913385 sec	Median: 0.903551 sec
               4 mountpoint(s)	0.945057 sec	 Sum: 4.746249 sec	Avg: 0.949249 sec	Min: 0.930963 sec	Max: 0.964852 sec	Median: 0.946284 sec
               5 mountpoint(s)	0.980580 sec	 Sum: 4.892457 sec	Avg: 0.978491 sec	Min: 0.969250 sec	Max: 0.989433 sec	Median: 0.980580 sec
               6 mountpoint(s)	1.001286 sec	 Sum: 5.044073 sec	Avg: 1.008814 sec	Min: 1.000657 sec	Max: 1.025960 sec	Median: 1.003861 sec
               7 mountpoint(s)	1.035962 sec	 Sum: 5.219305 sec	Avg: 1.043861 sec	Min: 1.035185 sec	Max: 1.055315 sec	Median: 1.038101 sec
               8 mountpoint(s)	1.070628 sec	 Sum: 5.387742 sec	Avg: 1.077548 sec	Min: 1.063236 sec	Max: 1.106777 sec	Median: 1.073390 sec
               9 mountpoint(s)	1.101582 sec	 Sum: 5.525052 sec	Avg: 1.105010 sec	Min: 1.098485 sec	Max: 1.115100 sec	Median: 1.103104 sec
5
                       nothing	0.000036 sec	 Sum: 0.000458 sec	Avg: 0.000076 sec	Min: 0.000027 sec	Max: 0.000299 sec	Median: 0.000036 sec
               0 mountpoint(s)	0.811468 sec	 Sum: 4.999984 sec	Avg: 0.833330 sec	Min: 0.798008 sec	Max: 0.909350 sec	Median: 0.811468 sec
               1 mountpoint(s)	0.836245 sec	 Sum: 5.059432 sec	Avg: 0.843238 sec	Min: 0.836245 sec	Max: 0.868009 sec	Median: 0.839003 sec
