num,reply,request,errors,time
1,1854.6,1845.4,6209,440.0
2,1941.9,1916.8,4571,301.9
3,2199.3,2199.3,0,2.8
4,2199.1,2186.6,2,7.0
5,2199.3,2199.3,0,0.8
6,2199.2,2199.3,0,1.3
7,2198.5,2198.6,17,1.0
8,2199.2,2199.3,0,1.3
9,2195.9,2196.3,69,11.4
10,2199.2,2199.3,0,0.9
